card_name,set_code,card_id,rarity
Skullclamp,40K,32c6af93-5535-5353-9798-61da9127cca5,uncommon
Skullclamp,BRC,dc2544fd-1734-5177-8bde-8e033ae0c163,uncommon
Skullclamp,C14,10db22dc-76cc-57f1-84aa-0f9854b0d677,uncommon
Skullclamp,C15,2898d477-3710-59ed-9af5-6330bfa18a83,uncommon
Skullclamp,C16,d1f4890b-b9ad-5166-b1a9-e2d5167a537f,uncommon
Skullclamp,C17,15521245-6b2b-56bb-8b13-ee6ba408df3f,uncommon
Skullclamp,C20,b1e874f1-3205-5927-a5fd-ba3ebd5524c3,uncommon
Skullclamp,CLB,57e3760f-4d20-5dcc-95ca-ad8e05871d3f,uncommon
Skullclamp,CMA,071ec598-f6cf-50d0-b3ac-aef49ac22538,uncommon
Skullclamp,CMD,cc01e401-abcf-59dd-b68c-521e50c151d0,uncommon
Skullclamp,DST,4df374aa-8bec-5152-b634-c18956d02ccd,uncommon
Skullclamp,MOC,7b47a041-45a5-5f2b-bf2d-472d08036ccc,uncommon
Skullclamp,PIP,32d9eb4a-a622-5a8f-ba5c-5ad2290f75af,uncommon
Skullclamp,PLST,57e8306b-96bd-5186-be82-ccb39eb1aaf5,uncommon
Skullclamp,SLD,0f4899b6-2178-5d39-ac52-b5d342a30b0e,rare
Skullclamp,TD0,676fbfd1-fc09-565f-a01a-2fdc901358ca,uncommon
Skullclamp,V09,3e39f3a7-0461-5881-b552-48ed7d0ee37b,mythic
Skullclamp,VMA,ddaccb92-ed50-5e07-b4e8-22c4c681c20c,mythic
Punishing Fire,CMD,fbfeb975-b13e-51af-930c-ab3a83206259,uncommon
Punishing Fire,DDG,5a76b3b3-0e13-56b8-9e22-8c0589000a2d,uncommon
Punishing Fire,PZ1,ca190591-cc0b-56e2-9ec0-caffc7723395,uncommon
Punishing Fire,ZEN,ebd24dcd-4197-5edd-8aef-794149bb1908,uncommon
Vault of Whispers,40K,2b64a8a4-9685-5669-b58d-d29f511d5807,common
Vault of Whispers,BRC,81c93af6-9b95-5eea-bbda-0124b671d30c,common
Vault of Whispers,HOP,7f1d2371-c833-5db2-90eb-934e1e75a9bb,common
Vault of Whispers,MRD,1f08d5e7-8e2f-517a-be40-190cb2403680,common
Vault of Whispers,SLD,a8a96968-0bd5-5da6-af3c-80b5b0c40ea8,rare
Vault of Whispers,WC04,c0ec68e1-7832-5a5f-a2ad-f936030bd666,common
"Uro, Titan of Nature's Wrath",PLST,dd24072a-4ae8-5107-a665-a3afdca63f01,mythic
"Uro, Titan of Nature's Wrath",PRM,eab09bb2-5b4c-524a-823e-48490fd874bf,mythic
"Uro, Titan of Nature's Wrath",PTHB,1b004b64-e782-5e48-a013-f5ca0bc97daa,mythic
"Uro, Titan of Nature's Wrath",SLD,5dbed221-602d-51d7-aeca-e73e6002bfa3,mythic
"Uro, Titan of Nature's Wrath",THB,0b70248d-ff8a-555b-b003-4146ebe4370a,mythic
Treasure Cruise,C16,be203d5b-ff93-5bea-9b36-fe27ced6688a,common
Treasure Cruise,C21,d681279e-e597-56e3-8d29-984965a1dfe9,common
Treasure Cruise,CM2,b6d4cf93-51b9-5498-a5b9-06f2442f5ba7,common
Treasure Cruise,KTK,61fda89e-aaa0-5dbe-ba17-714876581301,common
Treasure Cruise,NCC,b2677be9-2208-5e9d-af6c-5504c666111e,common
Treasure Cruise,PLST,9e6fe2da-2f73-55cc-9fcb-3672b73b3d93,common
Treasure Cruise,TSR,2a112a05-961c-5898-a9db-b9750dd3e63b,special
Treasure Cruise,UMA,90a92698-0b3e-5db3-8df6-1d8fd8168771,common
Ponder,C18,53e68e8f-a5cc-55bf-97d9-4ec99ffca270,common
Ponder,C21,fa72aef3-203b-5430-8eac-eec141b86c5f,common
Ponder,J21,57337791-28ed-567c-9516-dc4c5449bd13,common
Ponder,LRW,9993fc86-2ca1-58b8-98cd-e64c50ad5e68,common
Ponder,M10,dac201d5-0fb7-57a4-9f37-499d8c565e02,common
Ponder,M12,684d6a4e-8f07-53cc-97e9-034d7480cc1f,common
Ponder,NCC,c6075dd0-d4a5-5867-8bc9-0f9386cc6cbd,common
Ponder,P08,3f2f83ad-b876-503b-9688-5aaa46f13a17,rare
Ponder,PEWK,1e05a119-4a09-52a2-a68b-02c97d949077,rare
Ponder,PLST,59679411-0fb8-57c8-855f-936e7c3007ac,common
Ponder,PRM,45a752df-94dd-50b2-be4b-660a19fa0ee4,common
Ponder,SLC,f441e048-448a-516f-be06-bf0b14bf068f,rare
Ponder,SLD,b589541a-9fb6-51f3-a146-790fbe5ede7e,rare
Ponder,SLP,d25135dd-3a0b-5b7f-b23b-79b483324759,rare
Ponder,TSR,d3d4b101-fb5e-55b2-988b-2a9317e909ce,special
Ponder,WHO,fdeb0622-f3d4-5c3c-b697-326c4c22c773,common
